frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,898.26,168.04,1
6,906.74,166.49,1
7,913.02,166.48,1
8,918.34,172.36,1
9,897.07,234.38,1
10,885.33,228.21,1
11,931.71,199.25,1
12,902.56,273.55,1
13,888.70,272.83,1
14,886.57,271.06,1
15,876.32,273.47,1
16,866.07,276.56,1
17,855.82,272.81,1
18,902.74,261.00,1
19,949.66,251.42,1
20,952.30,254.36,1
21,954.94,262.84,1
22,977.55,269.86,1
23,1000.17,281.81,1
24,979.99,305.10,1
25,959.82,337.02,1
26,939.64,361.44,1
27,939.69,361.77,1
28,997.65,296.29,1
29,938.81,361.39,1
30,938.24,361.86,1
