frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,1230.87,465.46,1
34,1236.54,447.90,1
35,1241.85,433.57,1
36,1247.15,422.48,1
37,1252.46,414.61,1
38,1257.77,409.83,1
39,1263.07,407.22,1
40,1268.38,406.62,1
41,1273.69,408.05,1
42,1278.57,411.49,1
43,1283.45,415.41,1
44,1288.83,418.26,1
45,1294.21,421.46,1
46,1299.59,433.53,1
47,1303.85,452.14,1
48,1307.31,459.44,1
49,1312.87,478.02,1
50,1318.97,497.04,1
51,1321.36,508.14,1
52,1327.77,530.89,1
53,1331.89,554.90,1
54,1336.18,566.85,1
55,1340.93,585.58,1
56,1341.94,552.62,1
57,1342.80,537.97,1
58,1344.19,520.16,1
59,1345.59,493.13,1
60,1346.98,467.99,1
61,1348.37,455.87,1
62,1345.41,456.76,1
63,1342.44,470.67,1
64,1339.47,494.44,1
65,1336.50,509.21,1
66,1333.53,511.81,1
67,1330.07,503.86,1
68,1327.80,494.93,1
69,1325.54,488.74,1
70,1320.09,486.63,1
71,1316.84,484.53,1
72,1315.23,484.72,1
73,1312.07,487.63,1
74,1308.90,493.24,1
75,1305.74,501.55,1
76,1302.57,512.55,1
77,1299.41,524.56,1
78,1296.25,535.89,1
79,1293.08,546.53,1
80,1289.92,556.50,1
81,1286.58,562.98,1
82,1282.74,553.71,1
83,1277.57,550.74,1
84,1274.26,548.55,1
85,1269.87,550.33,1
86,1265.61,550.77,1
87,1262.72,552.64,1
88,1262.72,552.63,1
89,1257.92,561.45,1
90,1257.92,561.45,1
91,1257.94,561.48,1
92,1253.12,569.63,1
93,1250.10,575.98,1
94,1250.12,576.00,1
95,1244.92,573.41,1
96,1244.92,573.47,1
97,1240.89,572.59,1
98,1240.89,572.61,1
99,1237.75,572.80,1
100,1237.79,572.65,1
101,1231.42,577.01,1
102,1231.44,577.05,1
103,1227.27,583.63,1
104,1227.28,583.64,1
105,1224.77,584.18,1
106,1224.80,584.12,1
107,1221.03,583.68,1
108,1221.02,583.66,1
109,1214.38,585.96,1
110,1214.37,585.95,1
111,1211.44,589.42,1
112,-1,-1,0
113,-1,-1,0
114,-1,-1,0
115,-1,-1,0
116,-1,-1,0
117,-1,-1,0
118,-1,-1,0
119,-1,-1,0
120,-1,-1,0
121,-1,-1,0
122,-1,-1,0
123,-1,-1,0
124,-1,-1,0
125,-1,-1,0
126,-1,-1,0
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,-1,-1,0
134,1160.40,605.82,1
135,1160.39,605.83,1
136,1155.89,606.50,1
137,1155.89,606.51,1
138,1152.44,607.91,1
139,1148.99,609.12,1
140,1148.99,609.13,1
141,1142.59,612.40,1
142,1142.57,612.40,1
143,1137.23,614.33,1
144,1137.25,614.36,1
145,1134.49,615.01,1
146,1134.48,614.98,1
147,1128.43,616.50,1
148,1123.63,617.23,1
149,1118.84,617.12,1
150,1114.04,618.61,1
151,1108.08,621.35,1
152,1108.08,621.35,1
153,1104.27,621.54,1
154,1099.84,623.88,1
155,1095.22,625.95,1
156,1092.02,626.40,1
157,1089.29,626.95,1
158,1086.55,627.92,1
159,1083.81,629.18,1
160,1081.07,629.97,1
161,1078.33,630.18,1
162,1078.34,630.14,1
163,1072.54,631.30,1
164,1072.56,631.32,1
165,1067.88,632.52,1
166,1067.89,632.51,1
167,1061.85,634.49,1
168,1061.85,634.50,1
169,1059.29,634.44,1
170,1056.74,634.78,1
171,1054.18,635.51,1
172,1051.63,636.48,1
173,1049.07,637.70,1
174,1046.31,638.90,1
175,1046.31,638.90,1
176,1040.87,639.09,1
177,1040.88,639.10,1
178,-1,-1,0
179,-1,-1,0
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,-1,-1,0
184,-1,-1,0
185,-1,-1,0
186,-1,-1,0
187,-1,-1,0
188,-1,-1,0
189,-1,-1,0
190,-1,-1,0
191,-1,-1,0
192,-1,-1,0
193,-1,-1,0
194,-1,-1,0
195,-1,-1,0
196,-1,-1,0
197,-1,-1,0
198,-1,-1,0
199,-1,-1,0
200,-1,-1,0
201,986.15,655.06,1
202,986.14,655.06,1
203,983.53,656.76,1
204,983.52,656.74,1
205,977.44,657.42,1
206,977.43,657.44,1
207,974.10,658.59,1
208,974.06,658.54,1
