frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,-1,-1,0
16,-1,-1,0
17,-1,-1,0
18,-1,-1,0
19,-1,-1,0
20,-1,-1,0
21,-1,-1,0
22,-1,-1,0
23,-1,-1,0
24,-1,-1,0
25,-1,-1,0
26,-1,-1,0
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,1176.56,459.70,1
64,1178.22,455.39,1
65,1180.28,455.11,1
66,1182.71,454.90,1
67,1185.38,455.48,1
68,1186.54,456.83,1
69,1189.25,462.96,1
70,1189.22,462.96,1
71,1190.93,471.25,1
72,1192.02,479.38,1
73,1193.10,487.54,1
74,1194.55,497.87,1
75,1196.00,510.37,1
76,1197.45,524.17,1
77,1198.90,538.39,1
78,1200.32,549.30,1
79,1203.13,534.60,1
80,1205.94,516.05,1
81,1205.94,516.04,1
82,1216.52,515.63,1
83,1227.09,511.67,1
84,1237.67,504.16,1
85,1248.24,493.09,1
86,1258.81,479.07,1
87,1269.39,465.66,1
88,1279.96,453.46,1
89,1290.53,442.47,1
90,1301.11,432.68,1
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,-1,-1,0
96,-1,-1,0
97,-1,-1,0
98,-1,-1,0
99,-1,-1,0
100,-1,-1,0
101,-1,-1,0
102,-1,-1,0
103,-1,-1,0
104,-1,-1,0
105,-1,-1,0
106,-1,-1,0
107,1269.51,410.81,1
108,1267.49,412.74,1
109,1265.46,415.66,1
110,1263.44,425.00,1
111,1259.63,437.93,1
112,1259.63,437.93,1
113,1255.32,452.15,1
114,1253.40,460.91,1
115,1253.40,460.91,1
116,1250.19,470.35,1
117,1246.98,492.34,1
118,1243.78,517.83,1
119,1240.57,537.77,1
120,1239.90,552.16,1
121,1239.23,560.50,1
122,1238.56,559.78,1
123,1240.48,552.23,1
124,1240.48,552.23,1
125,1241.01,550.13,1
126,1242.17,544.94,1
127,1245.63,544.20,1
128,1247.00,544.77,1
129,1247.92,545.12,1
130,1251.28,550.65,1
131,1251.59,552.49,1
132,1253.84,560.68,1
133,1256.10,570.93,1
134,1257.10,577.54,1
135,1258.67,583.47,1
136,1259.85,586.41,1
137,1261.04,585.88,1
138,1262.23,582.67,1
139,1263.41,581.47,1
140,1264.60,583.04,1
141,1265.78,587.38,1
142,1266.95,591.59,1
143,1268.06,592.71,1
144,1268.44,591.53,1
145,1269.79,593.24,1
146,1271.18,597.84,1
147,1270.76,600.28,1
148,1273.55,600.62,1
149,1274.38,602.33,1
150,1274.99,602.87,1
151,1275.37,603.51,1
152,1276.55,604.44,1
153,1277.72,605.64,1
154,1278.90,607.11,1
155,1280.08,608.85,1
156,1281.26,610.78,1
157,1282.44,612.45,1
158,1283.62,613.77,1
159,1284.79,614.74,1
160,1285.97,615.37,1
161,1286.18,615.78,1
162,1287.12,616.69,1
163,1289.04,617.84,1
164,1289.39,617.89,1
165,1291.18,619.26,1
166,-1,-1,0
167,-1,-1,0
168,-1,-1,0
169,-1,-1,0
